code,version,title_ar,title_en,regulator_code,category,mandatory,effective_date,total_controls,status,official_ref,description_en,description_ar,notes
NCA-ECC,v2.0,الضوابط الأساسية للأمن السيبراني,Essential Cybersecurity Controls,NCA,national_law,True,2022-01-01,114,active,https://nca.gov.sa/pages/ecc.html,Comprehensive cybersecurity framework for critical infrastructure across 5 domains,إطار شامل للأمن السيبراني للبنية التحتية الحرجة عبر 5 مجالات,
NCA-CCC,v1.0,ضوابط الأمن السيبراني للحوسبة السحابية,Cloud Cybersecurity Controls,NCA,national_law,True,2020-11-01,67,active,https://nca.gov.sa/pages/ccc.html,Cloud-specific cybersecurity controls for cloud service providers and users,ضوابط الأمن السيبراني الخاصة بالحوسبة السحابية لمقدمي الخدمات والمستخدمين,
NCA-OTCC,v1.0,ضوابط الأمن السيبراني للتقنيات التشغيلية,Operational Technology Cybersecurity Controls,NCA,national_law,True,2021-06-01,53,active,https://nca.gov.sa/pages/otcc.html,Controls for operational technology (OT) and industrial control systems (ICS),ضوابط أنظمة التحكم الصناعي والتقنيات التشغيلية,
PDPL,v1.0,نظام حماية البيانات الشخصية,Personal Data Protection Law,SDAIA,national_law,True,2023-09-14,45,active,https://sdaia.gov.sa/en/PDPL,Saudi Arabia's data protection and privacy law similar to GDPR,نظام حماية البيانات الشخصية في المملكة مشابه لـ GDPR,
PDPL-IR,v1.0,اللائحة التنفيذية لنظام حماية البيانات الشخصية,PDPL Implementing Regulations,SDAIA,national_law,True,2023-09-14,89,active,https://sdaia.gov.sa/en/PDPL,Detailed implementing regulations for PDPL,اللائحة التنفيذية التفصيلية لنظام حماية البيانات الشخصية,
SAMA-CSF,v2.0,الإطار الإرشادي للأمن السيبراني,Cybersecurity Framework,SAMA,sector_specific,True,2022-01-01,156,active,https://sama.gov.sa/en-US/Laws/Pages/CybersecurityFramework.aspx,SAMA's comprehensive cybersecurity framework for financial sector,إطار ساما الشامل للأمن السيبراني للقطاع المالي,
SAMA-AML,v5.0,قواعد مكافحة غسل الأموال وتمويل الإرهاب,Anti-Money Laundering & Counter Terrorist Financing Rules,SAMA,sector_specific,True,2023-06-01,167,active,https://sama.gov.sa/en-US/Laws/Pages/AML-CFT.aspx,AML/CFT regulations for financial institutions,قواعد مكافحة غسل الأموال وتمويل الإرهاب للمؤسسات المالية,
SAMA-CCP,v2.1,مبادئ حماية المستهلك,Consumer Protection Principles,SAMA,sector_specific,True,2020-01-01,34,active,https://sama.gov.sa/en-US/Laws/Pages/ConsumerProtection.aspx,Consumer protection principles for banking customers,مبادئ حماية المستهلك لعملاء البنوك,
SAMA-PSR,v1.2,تنظيم خدمات الدفع,Payment Services Regulations,SAMA,sector_specific,True,2023-01-01,67,active,https://sama.gov.sa/en-US/Laws/Pages/PaymentServices.aspx,Regulations for payment service providers and fintech,تنظيم مقدمي خدمات الدفع والتقنية المالية,
CML,v2021,نظام السوق المالية,Capital Market Law,CMA,national_law,True,2021-01-01,72,active,https://cma.org.sa/RulesRegulations/Regulations/Pages/default.aspx,Foundational law for capital markets in Saudi Arabia,النظام الأساسي لأسواق رأس المال في المملكة,
CMA-CG,v2022,لائحة حوكمة الشركات,Corporate Governance Regulations,CMA,sector_specific,True,2022-01-01,94,active,https://cma.org.sa/RulesRegulations/Regulations/Pages/default.aspx,Corporate governance for listed companies,حوكمة الشركات المدرجة في السوق المالية,
CMA-LR,v2023,قواعد الإدراج,Listing Rules,CMA,sector_specific,True,2023-01-01,128,active,https://cma.org.sa/RulesRegulations/Regulations/Pages/default.aspx,Rules for listing and maintaining listing in Tadawul,قواعد الإدراج والاستمرار في تداول,
DGA-CLOUDFIRST,v2024,سياسة السحابة أولاً,Cloud First Policy,DGA,sector_specific,True,2024-01-01,28,active,https://dga.gov.sa/en/regulatory_framework,Mandates cloud adoption for government entities,إلزام الجهات الحكومية باعتماد الحوسبة السحابية,
DGA-DMI,v2024,منهجية مؤشر النضج الرقمي,Digital Maturity Index Methodology,DGA,sector_specific,True,2024-01-01,42,active,https://dga.gov.sa/en/regulatory_framework,Framework for measuring digital maturity of government entities,إطار لقياس النضج الرقمي للجهات الحكومية,
DGA-OPENDATA,v2023,سياسة البيانات المفتوحة,Open Data Policy,DGA,sector_specific,True,2023-01-01,23,active,https://dga.gov.sa/en/open-data,Government open data policy and standards,سياسة ومعايير البيانات المفتوحة الحكومية,
CST-CLOUD,v1.1,تنظيم الحوسبة السحابية,Cloud Computing Regulatory Framework,CST,sector_specific,True,2021-01-01,45,active,https://cst.gov.sa/en/regulations,Cloud service provider licensing and compliance,ترخيص مقدمي خدمات الحوسبة السحابية والامتثال,
CST-ICT,v2.0,تنظيم مقدمي خدمات تقنية المعلومات,ICT Service Providers Regulations,CST,sector_specific,True,2022-01-01,58,active,https://cst.gov.sa/en/regulations,Regulations for ICT service providers,تنظيم مقدمي خدمات تقنية المعلومات,
ZATCA-EINV-P1,v1.0,الفوترة الإلكترونية - المرحلة الأولى,E-Invoicing Phase 1 (Generation),ZATCA,national_law,True,2021-12-04,12,active,https://zatca.gov.sa/en/E-Invoicing,E-invoice generation and storage requirements,متطلبات إنشاء وحفظ الفواتير الإلكترونية,
ZATCA-EINV-P2,v2.0,الفوترة الإلكترونية - المرحلة الثانية,E-Invoicing Phase 2 (Integration),ZATCA,national_law,True,2023-01-01,23,active,https://zatca.gov.sa/en/E-Invoicing,E-invoice integration and reporting to ZATCA,تكامل وإبلاغ الفواتير الإلكترونية إلى الزكاة,
ZATCA-VAT,v2023,اللائحة التنفيذية لضريبة القيمة المضافة,VAT Implementing Regulations,ZATCA,national_law,True,2018-01-01,76,active,https://zatca.gov.sa/en/RulesRegulations,VAT compliance and reporting requirements,متطلبات الامتثال والإبلاغ عن ضريبة القيمة المضافة,
MOCI-COMPANIESLAW,v2022,نظام الشركات,Companies Law,MOCI,national_law,True,2022-01-19,235,active,https://mc.gov.sa/en/regulations,Comprehensive law governing company formation and operations,نظام شامل لتنظيم تأسيس الشركات وعملياتها,
MOCI-COMMERCIALREG,v2023,نظام السجل التجاري,Commercial Registration Law,MOCI,national_law,True,2023-01-01,89,active,https://mc.gov.sa/en/regulations,Commercial registry and business licensing,السجل التجاري وترخيص الأعمال التجارية,
MOCI-CONSUMERPROT,v2022,نظام حماية المستهلك,Consumer Protection Law,MOCI,national_law,True,2022-06-01,67,active,https://mc.gov.sa/en/consumer-protection,Consumer rights and e-commerce regulations,حقوق المستهلك وتنظيم التجارة الإلكترونية,
MOCI-ECOMMERCE,v2020,نظام التجارة الإلكترونية,E-Commerce Law,MOCI,national_law,True,2020-05-01,54,active,https://mc.gov.sa/en/ecommerce,E-commerce platform and marketplace regulations,تنظيم منصات وأسواق التجارة الإلكترونية,
MOCI-UBO,v2023,قواعد المالك المستفيد الحقيقي,Ultimate Beneficial Ownership Rules,MOCI,national_law,True,2023-01-01,23,active,https://mc.gov.sa/en/ubo,UBO disclosure and registry requirements,متطلبات الإفصاح والسجل للملكية الحقيقية,
MOH-HIS,v3.0,معايير نظم المعلومات الصحية,Health Information System Standards,MOH,sector_specific,True,2023-01-01,112,active,https://moh.gov.sa/en/HealthAwareness,HIS standards for healthcare facilities,معايير نظم المعلومات الصحية للمنشآت الصحية,
MOH-PATIENTRIGHTS,v2022,ميثاق حقوق المريض,Patient Rights Charter,MOH,sector_specific,True,2022-01-01,45,active,https://moh.gov.sa/en/Support/Pages/PatientRights.aspx,Patient rights and healthcare provider obligations,حقوق المريض والتزامات مقدمي الرعاية الصحية,
SFDA-MD,v4.1,تنظيم الأجهزة والمنتجات الطبية,Medical Devices Regulations,SFDA,sector_specific,True,2023-06-01,87,active,https://sfda.gov.sa/en/regulations,Medical device registration and quality standards,تسجيل الأجهزة الطبية ومعايير الجودة,
SFDA-PHARMA,v5.0,تنظيم المستحضرات الصيدلانية,Pharmaceutical Regulations,SFDA,sector_specific,True,2023-01-01,134,active,https://sfda.gov.sa/en/drugs,Drug registration manufacturing and distribution,تسجيل وتصنيع وتوزيع الأدوية,
CBAHI-HAS,v4.0,معايير اعتماد المنشآت الصحية,Healthcare Accreditation Standards,CBAHI,sector_specific,False,2023-01-01,298,active,https://portal.cbahi.gov.sa,Healthcare facility accreditation standards,معايير اعتماد المنشآت الصحية,
MHRSD-LABORLAW,v2023,نظام العمل,Labor Law,MHRSD,national_law,True,2023-03-01,245,active,https://hrsd.gov.sa/en/labor-law,Employment contracts working hours and labor rights,عقود العمل وساعات العمل وحقوق العمال,
MISA-INVESTMENTLAW,v2021,نظام الاستثمار,Investment Law,MISA,national_law,True,2021-01-01,78,active,https://misa.gov.sa/en/investment-law,Foreign direct investment regulations and incentives,تنظيم وحوافز الاستثمار الأجنبي المباشر,
NCEC-ENVCOMPLIANCE,v2024,معايير الامتثال البيئي,Environmental Compliance Standards,NCEC,sector_specific,True,2024-01-01,156,active,https://ncec.gov.sa,Environmental impact assessment and monitoring,تقييم الأثر البيئي والمراقبة,
SASO-PRODUCTSAFETY,v2023,معايير سلامة المنتجات,Product Safety & Quality Standards,SASO,sector_specific,True,2023-01-01,467,active,https://saso.gov.sa/en/standards,Mandatory product certifications and conformity,الشهادات الإلزامية للمنتجات والمطابقة,
ISO_27001,v2022,نظام إدارة أمن المعلومات,Information Security Management System,ISO,international,False,2022-10-01,93,active,https://iso.org/standard/27001,ISO/IEC 27001:2022 Annex A controls,ضوابط الملحق أ لمعيار ISO/IEC 27001:2022,
ISO27017,v2015,أمن الحوسبة السحابية,Cloud Security Controls,ISO,international,False,2015-12-01,37,active,https://iso.org/standard/27017,ISO/IEC 27017:2015 cloud-specific controls,ضوابط ISO/IEC 27017:2015 الخاصة بالسحابة,
ISO27018,v2019,حماية خصوصية الحوسبة السحابية,Cloud Privacy Controls,ISO,international,False,2019-01-01,43,active,https://iso.org/standard/27018,ISO/IEC 27018:2019 PII protection in cloud,حماية البيانات الشخصية في الحوسبة السحابية,
ISO22301,v2019,إدارة استمرارية الأعمال,Business Continuity Management,ISO,international,False,2019-10-01,67,active,https://iso.org/standard/22301,ISO 22301:2019 BCMS requirements,متطلبات نظام إدارة استمرارية الأعمال,
ISO9001,v2015,إدارة الجودة,Quality Management System,ISO,international,False,2015-09-01,84,active,https://iso.org/standard/9001,ISO 9001:2015 quality management,نظام إدارة الجودة ISO 9001:2015,
ISO20000,v2018,إدارة خدمات تقنية المعلومات,IT Service Management,ISO,international,False,2018-09-01,76,active,https://iso.org/standard/20000,ISO/IEC 20000-1:2018 ITSM,إدارة خدمات تقنية المعلومات,
NIST_CSF,v1.1,إطار الأمن السيبراني,Cybersecurity Framework,NIST,international,False,2018-04-16,108,active,https://nist.gov/cyberframework,NIST Cybersecurity Framework v1.1,إطار NIST للأمن السيبراني,
NIST-800-53,Rev5,ضوابط الأمن والخصوصية,Security & Privacy Controls,NIST,international,False,2020-09-01,1006,active,https://csrc.nist.gov/publications/sp800-53,NIST SP 800-53 Rev 5 comprehensive controls,ضوابط NIST الشاملة للأمن والخصوصية,
PCI_DSS,v4.0,معيار أمان بيانات بطاقات الدفع,Payment Card Industry Data Security Standard,PCI-SSC,international,True,2022-03-31,362,active,https://pcisecuritystandards.org,PCI DSS v4.0 for payment card processors,معيار PCI DSS v4.0 لمعالجي بطاقات الدفع,
SOC_2,v2023,ضوابط المؤسسات الخدمية - النوع الثاني,Service Organization Controls Type 2,AICPA,international,False,2023-01-01,64,active,https://aicpa.org/soc,SOC 2 trust service criteria,معايير ثقة SOC 2,
COBIT,v2019,إطار حوكمة وإدارة تقنية المعلومات,IT Governance & Management Framework,ISACA,international,False,2019-01-01,40,active,https://isaca.org/cobit,COBIT 2019 governance framework,إطار حوكمة COBIT 2019,
HITRUST-CSF,v11,إطار الأمن السيبراني للرعاية الصحية,Healthcare Security Framework,HITRUST,international,False,2023-01-01,156,active,https://hitrustalliance.net,HITRUST CSF v11 for healthcare,إطار الأمن السيبراني للرعاية الصحية,
CIS-CONTROLS,v8.0,ضوابط الأمن السيبراني الأساسية,Critical Security Controls,CIS,best_practice,False,2021-05-01,18,active,https://cisecurity.org/controls,CIS Controls v8.0 - 18 controls,ضوابط CIS الأساسية - 18 ضابط,
OWASP-ASVS,v4.0,معيار التحقق من أمان التطبيقات,Application Security Verification Standard,OWASP,best_practice,False,2021-03-01,286,active,https://owasp.org/asvs,OWASP ASVS v4.0 for secure development,معيار OWASP للتطوير الآمن,
GDPR,v2018,اللائحة العامة لحماية البيانات,General Data Protection Regulation,EU,international,False,2018-05-25,37,active,https://gdpr.eu,EU GDPR for organizations processing EU data,اللائحة الأوروبية لحماية البيانات,
HIPAA,v2013,قانون نقل التأمين الصحي والمساءلة,Health Insurance Portability & Accountability Act,HHS,international,False,2013-01-25,45,active,https://hhs.gov/hipaa,US HIPAA for healthcare data protection,قانون حماية بيانات الرعاية الصحية الأمريكي,
DGA-IM,2024,منهجية قياس نضج التحول الرقمي,Digital Maturity Measurement,DGA,national_law,True,2025-10-24,0,active,,Digital Maturity Measurement,منهجية قياس نضج التحول الرقمي,
CST-Cloud,,تنظيم الحوسبة السحابية,Cloud Computing Regulations,CST,national_law,True,2025-10-24,0,active,,Cloud Computing Regulations,تنظيم الحوسبة السحابية,
ZATCA-EINV,Phase 2,الفوترة الإلكترونية,E-Invoicing Regulations,ZATCA,national_law,True,2025-10-24,0,active,,E-Invoicing Regulations,الفوترة الإلكترونية,
